model,dataset,total,seconds,mpe_accuracy,wpe_accuracy,appendix_d_accuracy,release_accuracy,release_delta_pp,release_delta_correct,paper_wpe_accuracy,paper_release_accuracy
OpenAI ViT-B/16,caltech101,2465,122.9340095417574,92.5760649087221,93.02231237322515,92.86004056795132,94.48275862068965,1.4604462474645032,36,93.09,94.16
OpenAI ViT-B/16,dtd,1692,82.90186124946922,46.808510638297875,47.104018912529554,47.22222222222222,49.11347517730496,2.009456264775409,34,47.04,48.9
OpenAI ViT-B/16,eurosat,8100,145.06040745787323,51.97530864197531,49.666666666666664,52.74074074074074,54.839506172839506,5.172839506172842,419,49.6,55.56
OpenAI ViT-B/16,fgvc,3333,180.5259481249377,22.05220522052205,23.462346234623464,22.232223222322233,24.752475247524753,1.2901290129012892,43,23.28,24.49
OpenAI ViT-B/16,food101,30300,666.57443637494,84.85478547854785,85.68316831683168,84.98349834983499,85.84818481848185,0.16501650165017168,50,86.14,86.31
OpenAI ViT-B/16,oxford_flowers,2463,127.85882487427443,64.23061307348762,66.62606577344701,65.44863987007714,71.37637028014616,4.750304506699152,117,66.6,71.36
OpenAI ViT-B/16,oxford_pets,3669,99.92280991747975,81.1937857726901,82.52929953665848,82.91087489779231,89.47942218588172,6.950122649223232,255,82.38,89.13
OpenAI ViT-B/16,stanford_cars,8041,336.46801758371294,65.57642084317871,65.81270986195747,65.72565601293371,66.21067031463748,0.39796045268001023,32,65.93,66.14
OpenAI ViT-B/16,sun397,19850,990.6780608752742,64.92191435768262,65.7632241813602,65.32997481108312,66.93198992443325,1.1687657430730525,232,65.77,66.93
OpenAI ViT-B/16,ucf101,3783,162.0992784583941,67.53899021940259,68.3320116309807,68.25270948982289,70.12952683055777,1.797515199577063,68,68.33,70.41
OpenAI RN50,caltech101,2465,102.6701082913205,86.36916835699797,87.09939148073022,87.05882352941177,88.64097363083164,1.5415821501014193,38,86.65,88.46
OpenAI RN50,dtd,1692,58.75846675038338,41.48936170212766,41.78486997635934,41.725768321513,40.7210401891253,-1.0638297872340416,-18,40.89,41.31
OpenAI RN50,eurosat,8100,65.24767962563783,29.34567901234568,33.666666666666664,29.296296296296298,36.839506172839506,3.172839506172842,257,30.65,36.84
OpenAI RN50,fgvc,3333,151.5256242081523,16.141614161416143,16.44164416441644,16.261626162616263,16.981698169816983,0.5400540054005418,18,16.11,16.88
OpenAI RN50,food101,30300,391.7058009998873,75.39273927392739,76.68316831683168,75.56765676567657,76.70297029702971,0.01980198019802515,6,76.15,76.88
OpenAI RN50,oxford_flowers,2463,109.39968954212964,57.003654080389765,60.779537149817294,58.79009338205441,65.48924076329679,4.709703613479498,116,58.82,65.56
OpenAI RN50,oxford_pets,3669,68.04724954068661,76.45134914145544,80.18533660397928,78.19569364949578,86.01798855273917,5.832651948759889,214,78.43,85.69
OpenAI RN50,stanford_cars,8041,266.3418744588271,55.70202711105584,56.60987439373212,55.97562492227335,56.42333043153837,-0.18654396219375258,-15,56.02,56.44
OpenAI RN50,sun397,19850,821.5737702073529,59.3551637279597,60.31234256926952,59.65239294710327,61.33501259445844,1.0226700251889227,203,59.71,61.28
OpenAI RN50,ucf101,3783,110.53802349977195,59.027227068464185,62.49008723235527,60.5604017975152,63.3888448321438,0.8987575997885315,34,61.53,63.66
OpenCLIP ViT-B/16 LAION-2B,caltech101,2465,97.12559516634792,96.06490872210954,96.34888438133875,96.22718052738337,96.71399594320486,0.36511156186611515,9,,
OpenCLIP ViT-B/16 LAION-2B,dtd,1692,58.68556662462652,55.378250591016545,55.673758865248224,55.73286052009456,55.141843971631204,-0.5319148936170208,-9,,
OpenCLIP ViT-B/16 LAION-2B,eurosat,8100,116.42837712541223,49.44444444444444,50.75308641975309,49.77777777777778,52.23456790123457,1.481481481481481,120,,
OpenCLIP ViT-B/16 LAION-2B,fgvc,3333,150.02474724967033,24.722472247224722,26.702670267026704,25.382538253825384,26.912691269126913,0.21002100210020913,7,,
OpenCLIP ViT-B/16 LAION-2B,food101,30300,580.001837416552,82.3102310231023,83.57755775577557,82.4026402640264,83.86138613861387,0.28382838283829415,86,,
OpenCLIP ViT-B/16 LAION-2B,oxford_flowers,2463,106.55288674961776,64.96142915144134,68.98091758018677,67.23507917174177,72.39139261063744,3.4104750304506695,84,,
OpenCLIP ViT-B/16 LAION-2B,oxford_pets,3669,86.30753316730261,82.58381030253474,88.63450531479967,85.4183701281003,90.35159443990187,1.7170891251022056,63,,
OpenCLIP ViT-B/16 LAION-2B,stanford_cars,8041,282.5681325001642,90.12560626787713,90.31215023007088,90.18778758860839,90.54843924884965,0.23628901877876274,19,,
OpenCLIP ViT-B/16 LAION-2B,sun397,19850,859.0203119590878,70.11586901763224,70.85642317380352,70.66498740554157,71.42569269521411,0.5692695214105896,113,,
OpenCLIP ViT-B/16 LAION-2B,ucf101,3783,116.58718841709197,65.82077716098334,66.93100713719271,66.58736452550886,67.69759450171821,0.7665873645255061,29,,
